#n_h: 3
#T/J: 0.2
0.00014236 0.00014332 0.00015354 0.00017139 0.00017916 0.0001794 0.00016069 0.00017726 0.00016975 0.00012926 0.00018942 0.0001491 0.00014121 0.0001783  0.00018233 0.00015311 0.00015953 0.00018589 0.00013733 0.00015459 0.00020476 0.00015376 0.00013948 0.00019519 0.00017225 0.00016287 0.00011665 0.00016468 0.00019729

#n_h: 7
#T/J: 1.0
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
0.01801291 0.04175234 0.05056861 0.05125411 0.05119239 0.05127234 0.05132473 0.05128513 0.05129154 0.05132053 0.0512768  0.05133112 0.05131092 0.05129997 0.05129855 0.05129918 0.05127514 0.05130665 0.05133017 0.05133599 0.05130851 0.05125694 0.05127389 0.0512673 0.05115132 0.051333   0.0505451  0.04177974 0.0180333 
0.00021893 0.00024078 0.00020504 0.00017129 0.00018074 0.00015718 0.00020638 0.00020711 0.00014313 0.0002084  0.00018477 0.00016947 0.00013228 0.00022623 0.00021522 0.00017817 0.00015266 0.00016 0.00017385 0.00018581 0.00018368 0.00018467 0.0002068  0.00019273 0.00017788 0.00015694 0.00020768 0.00022454 0.00016096

#n_h: 8
#T/J: 0.2
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
0.01688826 0.04601767 0.06612705 0.07022785 0.06806493 0.06843662 0.07037771 0.07054232 0.06972185 0.06996715 0.07073227 0.07043575 0.06999879 0.07035135 0.07065659 0.07039727 0.06998158 0.07039305 0.07067056 0.06994845 0.06976481 0.07052365 0.07037185 0.06850146 0.06803331 0.07021164 0.06613744 0.04609141 0.01684956
0.00019953 0.00021233 0.00024152 0.00029907 0.00028926 0.00028891 0.00029824 0.00022867 0.00029232 0.00034515 0.00027511 0.00031546 0.00026241 0.00029118 0.00045964 0.00027144 0.00025064 0.00028221 0.00027677 0.00034938 0.00028695 0.00030007 0.00029182 0.00030412 0.00026665 0.00028191 0.0002216  0.00024874 0.00019975

#n_h: 8
#T/J: 0.5
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
0.0195638  0.05050642 0.06718316 0.0692762  0.06844602 0.06893949 0.06944829 0.06940895 0.06928274 0.0693423  0.06940901 0.06939574 0.06930208 0.06936128 0.06941346 0.06935895 0.06932906 0.06935524 0.06939461 0.06938796 0.06926528 0.06937864 0.06945996 0.06893843 0.06842018 0.06928927 0.06722261 0.05042499 0.01950697
0.00018756 0.00019848 0.00018575 0.00016157 0.00019753 0.00019207 0.00018203 0.00020646 0.00019363 0.00019077 0.0001623  0.00019922 0.00017315 0.00020141 0.00023939 0.00017651 0.00015354 0.00015168 0.00017947 0.00015525 0.00020029 0.00017531 0.00020231 0.00018977 0.00019834 0.00018468 0.0001987  0.00013988 0.00016046

#n_h: 8
#T/J: 1.0
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
0.02600811 0.05788851 0.06766697 0.06789646 0.0678841  0.06798877 0.0679915  0.06800011 0.06798202 0.06800957 0.06799508 0.06796523 0.0680121  0.06802511 0.0680551  0.06799654 0.06803637 0.06798025 0.06800628 0.06801231 0.06801094 0.06803035 0.06799889 0.06798051 0.06787669 0.06782359 0.06767945 0.05789866 0.02598875
0.00018359 0.00017144 0.00017841 0.00013584 0.0001998  0.00016316 0.00015074 0.00017604 0.00014121 0.0002094  0.00017308 0.0002401 0.00023125 0.00023222 0.00019343 0.00020831 0.00019697 0.00019767 0.00015879 0.0001881  0.00019495 0.00013429 0.00016121 0.00018433 0.00016147 0.00018647 0.0001536  0.00016238 0.00016329

